#DYNAMICS.TIME(1stCOL)ANDEVOLVEDCOEFFICIENTSALLTHEBASISVECTORSORDEREDBYINDEXNUMBER

0.0000000000000000 0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  2.49800180540660222E-016+0.0000000000000000j  1.11022302462515654E-016+0.0000000000000000j  0.50000000000000000+0.0000000000000000j  0.49999999999999978+0.0000000000000000j  1.11022302462515654E-016+0.0000000000000000j  2.77555756156289135E-017+0.0000000000000000j  -5.55111512312578270E-017+0.0000000000000000j  0.49999999999999978+0.0000000000000000j  0.49999999999999978+0.0000000000000000j  -1.38777878078144568E-016+0.0000000000000000j 

2.0000000000000000E-003 0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  2.49800180540660222E-016-1.99999200000959857E-003j  -3.99999199990341836E-006+4.33680868994201774E-019j  0.49999600000800004+3.25260651745651330E-019j  0.49999600000799976+0.0000000000000000j  1.11022302462515654E-016-1.99999200000959901E-003j  2.77555756156289135E-017-1.99999200000959944E-003j  -5.55111512312578270E-017-1.99999200000959944E-003j  0.49999600000799982+5.42101086242752217E-019j  0.49999600000799971+1.30104260698260532E-018j  -3.99999200018097412E-006+4.33680868994201774E-019j 

4.0000000000000001E-003 0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  2.49800180540660222E-016-3.99993600030719605E-003j  -1.59998720002940686E-005+6.50521303491302660E-019j  0.49998400012799959+6.50521303491302660E-019j  0.49998400012799937-2.16840434497100887E-019j  1.11022302462515654E-016-3.99993600030719692E-003j  2.77555756156289135E-017-3.99993600030719779E-003j  -5.55111512312578270E-017-3.99993600030719779E-003j  0.49998400012799937+1.30104260698260532E-018j  0.49998400012799937+2.38524477946810975E-018j  -1.59998720005438688E-005+6.50521303491302660E-019j 

6.0000000000000001E-003 0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  2.49800180540660222E-016-5.99978400233278433E-003j  -3.59993520045454041E-005+1.30104260698260532E-018j  0.49996400064799540+1.30104260698260532E-018j  0.49996400064799512+4.33680868994201774E-019j  1.11022302462515654E-016-5.99978400233278433E-003j  2.77555756156289135E-017-5.99978400233278693E-003j  -5.55111512312578270E-017-5.99978400233278607E-003j  0.49996400064799518+1.73472347597680709E-018j  0.49996400064799507+3.46944695195361419E-018j  -3.59993520048229598E-005+1.30104260698260532E-018j 

8.0000000000000002E-003 0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  0.0000000000000000+0.0000000000000000j  2.49800180540660222E-016-7.99948800983030402E-003j  -6.39979520261069190E-005+1.30104260698260532E-018j  0.49993600204797384+1.30104260698260532E-018j  0.49993600204797356-4.33680868994201774E-019j  1.11022302462515654E-016-7.99948800983030575E-003j  2.77555756156289135E-017-7.99948800983030749E-003j  -5.55111512312578270E-017-7.99948800983030749E-003j  0.49993600204797362+2.60208521396521064E-018j  0.49993600204797350+4.77048955893621951E-018j  -6.39979520263844748E-005+1.30104260698260532E-018j 

